year,zipcode,dage,dethnic,dlivedsf,deduc,dincome,movesf,ownrenhm,City,State,AvePrice,Lat,Lng
2017,94124,1,1,5,2,4,2,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,4,10,5,4,5,4,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,5,3,2,3,3,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,1,6,4,5,2,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,1,1,1,1,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,2,2,1,3,3,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,5,3,1,2,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,6,1,4,2,8,1,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,1,1,4,2,8,1,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,5,5,2,5,4,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,1,1,5,3,2,2,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,2,3,2,2,3,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,2,1,5,2,8,2,4,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,5,3,1,2,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,5,1,6,3,2,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,4,1,6,2,8,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,7,1,6,4,8,4,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,4,7,6,3,2,1,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,5,6,2,8,2,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,4,1,4,4,5,1,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,6,1,6,4,5,4,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,7,5,6,4,7,4,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,2,10,5,2,8,2,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,5,4,5,3,3,4,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,2,1,1,4,8,2,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,5,5,5,2,8,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,5,2,4,5,3,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,6,1,6,4,5,4,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,3,2,2,4,2,4,2,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
2017,94124,1,5,1,2,8,4,1,San Francisco,CA,838283.3333333334,37.7304167,-122.384425
